Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
" SYF 505   SKF",,0,"537,16",650,,,Dom.ložisko
"BMA 30 G3-V2  Scheeberger",,0,"3045,6","3685,18",,,Dom.ložisko
"BPFL 204",,0,"162,6","196,75",,,Dom.ložisko
"CP 209",,2,"180,2","218,04",,,"krytka domečku 209"
"F  211 ASAHI",,2,396,"479,16",,,Dom.ložisko
"F  211 FKL",,0,396,"479,16",,,Dom.ložisko
"F  215",,0,"686,2","830,3",,,Dom.ložisko
"FC 207      Asahi",,0,"246,7","298,51",,,Domeček
"FC 212       Asahi",,0,229,"277,09",,,Domeček
"FC 212 FK",,0,"458,4","554,66",,,Domeček
"FGE 206",,0,585,"707,85",,,Dom.ložisko
"FGE 209",,0,500,605,,,Dom.ložisko
"FLCTE 35  INA   KHLCTE 207   ASAHI",,3,"988,8","1196,45",,,Domeč.ložisko
"FY 25 TF                   SKF",,0,"658,2","796,42",,,Dom.ložisko
"FY 50 TF                    SKF",,0,"1511,1","1828,43",,,Dom.ložisko
"FY 510 M                   SKF",,0,"607,4","734,95",,,Domeček
"FY 60 TF                   SKF",,0,"2184,3",2643,,,Dom.ložisko
"FYC  60  TF                   SKF",,0,"2184,3",2643,,,Dom.ložisko
"FYTB 506 M              SKF",,4,"300,8","363,97",,,Dom.ložisko
"G 208                  FKL",,0,"210,2","254,34",,,Dom.ložisko
"GE 20 ES  CX",,0,"452,6","547,65",,,Dom.ložisko
"GE 25 KRRB       INA YEL 205",,2,"452,6","547,65",,,Dom.ložisko
"GE 30 KRRB               INA",,0,"540,2","653,64",,,Dom.ložisko
"GE 40 KRR-B              INA",,0,"932,6","1128,45",,,Dom.ložisko
"GG ME 10 N              INA",,0,0,0,,,DOMEČEK
"KH 207   (SA 207)   ASAHY",,5,"629,5","761,7",,,Dom.ložisko
"KH 208  (SA 208)    ASAHI",,0,"659,2","797,63",,,Dom.ložisko
"KH 209  (SA 209)   ASAHI",,1,"225,4","272,73",,,Dom.ložisko
"KHLCTE 203 FK (SALCTE 203)",,0,"167,9","203,16",,,Dom.ložisko
"Kyvné oko BEF 8 M8 DURBAL",,0,357,"431,97",,,
"kyvné oko FBF 10 (SIJK)",,3,"182,3","220,58",,,Dom.ložisko
"kyvné oko FBF 8",,4,"107,1","129,59",,,Dom.ložisko
"kyvné oko FBM 12 FL",,0,200,242,,,Dom.ložisko
"kyvné oko JAM 12 P.",,0,"185,4","224,33",,,Dom.ložisko
"kyvné oko SALBT10",,0,"144,5","174,85",,,Dom.ložisko
"LEF 206                    FKL",,0,"408,3","494,04",,,Dom.ložisko
"LEF 211               FKL",,0,"412,3","498,88",,,Dom.ložisko
"LEG 208 (FYC 508)",,0,627,"758,67",,,Dom.ložisko
"LES 207                    FKL",,0,516,"624,36",,,Dom.ložisko
"LES 208                   FKL",,0,"724,6","876,77",,,Dom.ložisko
"LES 210",,0,"838,6","1014,71",,,Dom.ložisko
"LES 211",,0,"989,9","1197,78",,,Dom.ložisko
"LES 212  (SY 60 TF)",,0,"1276,6","1544,69",,,Dom.ložisko
"LET 206",,0,539,"652,19",,,Dom.ložisko
"LEV 205 FKL       UCPA",,0,"339,5","410,8",,,"LEV 205 FKL"
"LGW 25 HC         HIWIN",,0,"4013,2","4855,97",,,Dom.ložisko
"LK 208  FKL",,0,"301,5","364,82",,,Domeček
"LR 207-X-2RS            INA",,9,"1093,1","1322,65",,,Dom.ložisko
"LYG 209",,0,"943,2","1141,27",,,Dom.ložisko
"MUC 215  nerezové",,0,"8730,8","10564,27",,,Domeček
"MUCP 209 celonerezové",,0,"2156,5","2609,37",,,Domeček
"PFL 204 Pozink",,0,"72,4","87,6",,,Domeček
"PME  40 N                 INA",,4,"1463,1","1770,35",,,Dom.ložisko
"PME  40 N                 INA",,0,"1453,1","1758,25",,,Dom.ložisko
"PME  50 N                 INA Domeček",,0,"1320,1","1597,32",,,Dom.ložisko
