Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
" Sada O kroužek NBR",,0,198,"239,58",,,"Sada O kroužek NBR"
"Obd.profil 4x6x1100",,0,"59,4","71,87",,,"Obd.profil    NBR"
"O- Profil  2 mm",,"7,5","11,8","14,28",,,"O-Profil    NBR"
"O- Profil  25 mm",,0,568,"687,28",,,"O-Profil    NBR"
"O- Profil 3 mm",,"2,13","15,4","18,63",,,"O-Profil      NBR"
"O- Profil 4 mm",,0,"19,1","23,11",,,"O-Profil      NBR"
"O- Profil 5 mm NBR 70 Sh",,0,"49,2","59,53",,,"O-Profil    NBR"
"O- Profil 6 mm NBR 70 Sh",,0,"29,2","35,33",,,"O-Profil    NBR"
"O-Profil  10 mm MVQ",,0,"156,4","189,24",,,"O-Profil    EDPM"
"O-Profil  5 mm  70 Sh",,3,"22,4","27,1",,,"O-Profil    EDPM"
"O-Profil  5 mm MVQ",,0,"50,4","60,98",,,"O-Profil    EDPM"
"O-Profil 2,5 mm",,"5,6","13,5","16,34",,,"O-Profil    NBR"
"O-Profil 3,5 mm",,"8,7","16,4","19,84",,,"O-Profil   NBR"
"O-profil 4,5 mm",,3,"18,9","22,87",,,"O-profil   NBR"
"O-profil 7,5 mm",,0,"48,7","58,93",,,"O-profil   NBR"
"V Kroužek  VA  NBR  180",,0,"120,5","145,81",,,"V Profil  SH 70 NBR"
"V kroužek VA NBR  80",,0,"67,7","81,92",,,"V Profil   SH 70 NBR"
"1,25-16",,0,2,"2,42",,,"O kroužek SH 70 NBR"
"1,2-7",,64,"1,1","1,33",,,"O kroužek SH 70 NBR"
"1,5-10",,1370,"1,57","1,9",,,"O kroužek NBR 70"
"1,5-11",,2240,"1,65",2,,,"O kroužek NBR 70"
"1,5-110            VÝROBA",,0,"42,06","50,9",,,"O kroužek NBR"
"1,5-11,5",,160,"1,65",2,,,"O kroužek NBR 70"
"1,5-12",,227,"1,5","1,82",,,"O kroužek NBR"
"1,5-13",,198,"1,5","1,82",,,"O kroužek NBR"
"1,5-14",,108,"1,5","1,82",,,"O kroužek NBR"
"1,5-16",,86,"1,7","2,06",,,"O kroužek NBR"
"1,5-18",,105,"1,7","2,06",,,"O kroužek NBR"
