Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH"
"Sada segr.poj",,0,125,"151,25"
"10 Seger. pojistka do otv.",,170,"0,8","0,97"
"100 Seger.pojistky do otv.",,25,"19,6","23,72"
"11 Seger. pojistka do otv.",,173,"0,9","1,09"
"110 Seger. pojistka do otv.",,16,"124,3","150,4"
"12 Seger. pojistka do otv.",,180,1,"1,21"
"13 Seger. pojistka do otv.",,180,"0,9","1,09"
"14 Seger. pojistky do otv.",,80,"1,1","1,33"
"15 Seger. pojistky do otv.",,80,"1,1","1,33"
"150 Seger. pojistka do otv.",,0,"52,33","63,32"
"16 Seger. pojistky do otv.",,80,"0,7","0,85"
"17 Seger. pojistky do otv.",,80,"0,7","0,85"
"18 Seger. pojistky do otv.",,883,"0,7","0,85"
"180 Seger.pojistky do otv.",,0,"101,5","122,82"
"19 Seger. pojistky do otv.",,880,"0,7","0,85"
"20 Seger. pojistky do otv.",,195,"0,7","0,85"
"22 Seger. pojistky do otv.",,910,"0,9","1,09"
"24 Seger. pojistky do otv.",,272,"1,3","1,57"
"25 Seger. pojistky do otv.",,445,"1,3","1,57"
"26 Seger. pojistky do otv.",,257,"1,3","1,57"
"28 Seger. pojistky do otv.",,208,"1,4","1,69"
"30 Seger. pojistky do otv.",,155,"1,6","1,94"
"32 Seger. pojistky do otv.",,129,"1,9","2,3"
"34 Seger. pojistky do otv.",,213,"2,3","2,78"
"35 Seger. pojistky do otv.",,141,"2,5","3,03"
"36 Seger. pojistky do otv.",,276,"2,6","3,15"
"37 Seger. pojistky do otv.",,275,"2,8","3,39"
"38 Seger. pojistky do otv.",,196,"2,8","3,39"
"40 Seger. pojistky do otv.",,56,"3,6","4,36"
"42 Seger. pojistky do otv.",,463,"3,9","4,72"
"45 Seger. pojistky do otv.",,144,"3,7","4,48"
"47 Seger. pojistky do otv.",,312,"4,5","5,45"
"48 Seger. pojistky do otv.",,163,"4,6","5,57"
"52 Seger. pojistky do otv.",,28,"4,7","5,69"
"55 Seger. pojistky do otv.",,99,"4,8","5,81"
"60 Seger. pojistky do otv.",,82,"5,3","6,41"
"62 Seger. pojistky do otv.",,15,"5,5","6,66"
"65 Seger. pojistky do otv.",,70,"6,5","7,87"
"70 Seger. pojistky do orv.",,57,7,"8,47"
"72 Seger. pojistky do otv.",,144,"8,2","9,92"
"75 Seger.pojistky do otv.",,163,"8,4","10,16"
"8 Seger. pojistka do otv.",,180,"0,8","0,97"
"80 Seger. pojistky do otv.",,175,"8,6","10,41"
"85 Seger. pojistka do otv.",,180,"19,6","23,72"
"9 Seger. pojistka do otv.",,180,"0,8","0,97"
"90 Seger.pojistky do otv.",,145,"8,8","10,65"
